type,Player,year,Age,Team,Lg,WAR,G,PA,AB,HR,RBI,SB,OPS,woba,xwoba,xslg,barrel_batted_rate,exit_velocity_avg,launch_angle_avg,k_percent,bb_percent,player_id,ERA,FIP,IP,GS,SV,whiff_percent,hard_hit_percent,swing_percent
batter,Adam Wainwright,2021,39,STL,NL,0.2,33,74,57,0,4,0,0.325,0.149,0.173,0.199,2.2,86.1,4.7,33.8,4.1,425794,,,,,,,,
pitcher,Adam Wainwright,2021,39,STL,NL,3.7,32,,,,,,,0.273,0.302,0.392,6.2,,,21,6,425794,3.05,3.66,206.1,32,0,20.2,35.6,43.8
batter,Alex Reyes,2021,26,STL,NL,0,67,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
pitcher,Alex Reyes,2021,26,STL,NL,0.7,69,,,,,,,0.281,0.292,0.313,4.8,,,30,16.4,621052,3.24,4.4,72.1,0,29,35,34.5,43.9
batter,Ali Sánchez,2021,24,STL,NL,0.1,2,4,4,0,0,0,1.5,,,,,,,,,,,,,,,,,
batter,Andrew Knizner,2021,26,STL,NL,-0.3,63,185,161,1,9,0,0.517,0.238,0.275,0.299,4.1,87.5,7.8,21.1,10.8,668800,,,,,,,,
batter,Andrew Miller*,2021,36,STL,NL,0,37,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Andrew Miller*,2021,36,STL,NL,-0.1,40,,,,,,,0.372,0.335,0.414,8.7,,,24.4,9.8,453192,4.75,4.5,36,0,0,26.4,36.9,43.4
batter,Angel Rondón,2021,23,STL,NL,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Angel Rondón,2021,23,STL,NL,0.1,2,,,,,,,0.224,0.289,0.293,0,,,14.3,14.3,667373,0,3.67,2,0,0,7.1,20,48.3
batter,Austin Dean,2021,27,STL,NL,0,22,38,30,1,7,0,0.742,0.32,0.294,0.309,4.8,87.4,5.1,28.9,15.8,621573,,,,,,,,
batter,Bernardo Flores Jr.*,2021,25,STL,NL,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Bernardo Flores Jr.*,2021,25,STL,NL,0,1,,,,,,,,,,,,,,,,,,0,0,0,,,
batter,Brandon Dickson,2021,36,STL,NL,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Brandon Dickson,2021,36,STL,NL,-0.1,2,,,,,,,0.625,0.414,0.652,22.2,,,10,0,505447,13.5,8.67,2,0,0,20,55.6,42.9
batter,Brandon Waddell*,2021,27,STL,NL,0,4,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
pitcher,Brandon Waddell*,2021,27,STL,NL,0,4,,,,,,,0.45,0.444,0.61,14.3,,,13.7,17.6,663399,4.15,3.86,4.1,0,0,25.8,54.3,41.8
batter,Carlos Martínez,2021,29,STL,NL,-0.1,16,25,24,0,0,0,0.208,,,,,,,,,,,,,,,,,
pitcher,Carlos Martínez,2021,29,STL,NL,-1.3,16,,,,,,,,,,,,,,,,6.23,4.76,82.1,16,0,,,
batter,Dakota Hudson,2021,26,STL,NL,0.1,2,4,3,0,0,0,0.833,,,,,,,,,,,,,,,,,
pitcher,Dakota Hudson,2021,26,STL,NL,0.3,2,,,,,,,0.244,0.22,0.235,0,,,17.6,2.9,641712,2.08,2.48,8.2,1,0,16.1,15.4,47.3
batter,Daniel Ponce de Leon,2021,29,STL,NL,-0.1,22,5,5,0,0,0,0,,,,,,,,,,,,,,,,,
pitcher,Daniel Ponce de Leon,2021,29,STL,NL,-0.7,24,,,,,,,,,,,,,,,,6.21,6.11,33.1,2,2,,,
batter,Dylan Carlson#,2021,22,STL,NL,3.2,149,619,542,18,65,2,0.78,0.336,0.32,0.404,7,88.2,15.1,24.6,9.2,666185,,,,,,,,
batter,Edmundo Sosa,2021,25,STL,NL,3.2,113,326,288,6,27,4,0.735,0.322,0.32,0.386,3.9,86.7,6,19.3,5.2,624641,,,,,,,,
batter,Génesis Cabrera*,2021,24,STL,NL,0,68,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Génesis Cabrera*,2021,24,STL,NL,0.2,71,,,,,,,0.283,0.294,0.334,5.6,,,26,12.2,650893,3.73,3.28,70,0,0,26.7,34.8,47.6
batter,Giovanny Gallegos,2021,29,STL,NL,0,69,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Giovanny Gallegos,2021,29,STL,NL,1.3,73,,,,,,,0.24,0.27,0.345,10.1,,,30.6,6.5,606149,3.02,2.75,80.1,0,14,34.6,38.6,51.5
batter,Harrison Bader,2021,27,STL,NL,4.1,103,401,367,16,50,9,0.785,0.331,0.291,0.394,7,86.2,13.3,21.2,6.7,664056,,,,,,,,
batter,J.A. Happ*,2021,38,STL,NL,-0.1,10,15,14,0,0,0,0.067,0.046,0.121,0.1,0,84.5,-0.3,33.3,6.7,457918,,,,,,,,
pitcher,J.A. Happ*,2021,38,STL,NL,0.5,11,,,,,,,0.361,0.356,0.51,11.6,,,18.2,7.2,457918,4,4.61,54,11,0,19.6,41.8,47.9
batter,Jack Flaherty,2021,25,STL,NL,0.3,15,26,17,1,3,0,0.598,0.276,0.361,0.387,7.1,86.4,8.8,26.9,19.2,656427,,,,,,,,
pitcher,Jack Flaherty,2021,25,STL,NL,0.8,17,,,,,,,0.28,0.337,0.462,9.3,,,26.4,8.1,656427,3.22,4.22,78.1,15,0,28.1,41.5,44.8
batter,Jake Woodford,2021,24,STL,NL,-0.1,24,20,18,0,0,0,0.222,0.098,0.164,0.198,0,87.9,-17.8,45,0,663765,,,,,,,,
pitcher,Jake Woodford,2021,24,STL,NL,0.4,26,,,,,,,0.322,0.33,0.404,5.7,,,17.1,8.5,663765,3.99,4.5,67.2,8,0,20.5,41,43.9
batter,Johan Oviedo,2021,23,STL,NL,0.1,13,22,20,0,2,0,0.377,0.183,0.158,0.111,0,87.6,-25,40.9,9.1,670912,,,,,,,,
pitcher,Johan Oviedo,2021,23,STL,NL,-0.5,14,,,,,,,0.339,0.362,0.453,7.7,,,17.7,12.8,670912,4.91,5.27,62.1,13,0,26.1,35.6,44.8
batter,John Gant,2021,28,STL,NL,-0.2,22,18,13,0,0,0,0,0,0.125,0.162,0,79.2,14.1,44.4,0,607231,,,,,,,,
pitcher,John Gant,2021,28,STL,NL,1,25,,,,,,,0.321,0.346,0.402,5.6,,,18.7,14.5,607231,3.42,5.12,76.1,14,0,24.6,38.5,43.3
batter,John Nogowski,2021,28,STL,NL,-0.3,19,20,18,0,0,0,0.206,0.273,0.282,0.322,0,88.1,15.6,15.4,8.4,596056,,,,,,,,
batter,Jon Lester*,2021,37,STL,NL,0.1,11,22,20,0,0,0,0.477,0.205,0.219,0.287,8,86,0.5,47.1,3.9,452657,,,,,,,,
pitcher,Jon Lester*,2021,37,STL,NL,0.1,12,,,,,,,0.352,0.345,0.459,7.7,,,14.5,8.8,452657,4.36,5.4,66,12,0,20.1,37.2,46.4
batter,Jordan Hicks,2021,24,STL,NL,0,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
pitcher,Jordan Hicks,2021,24,STL,NL,-0.1,10,,,,,,,0.281,0.279,0.196,0,,,22.7,22.7,663855,5.4,4.17,10,0,0,24.4,12.5,37.7
batter,José Rondón,2021,27,STL,NL,0.2,63,90,80,3,9,2,0.735,,,,,,,,,,,,,,,,,
batter,Junior Fernández,2021,24,STL,NL,0,16,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
pitcher,Junior Fernández,2021,24,STL,NL,-0.1,18,,,,,,,0.373,0.363,0.427,3,,,15.6,14.6,658551,5.66,5.15,20.2,0,0,29.9,35.8,47.6
